country,cluster_id,cluster,n_crossings,crossing_rate
China,1,China group,2652,0.23273365511189117
Turkey,1,China group,1318,0.21285529715762275
Iran,1,China group,1080,0.2510460251046025
Greece,1,China group,1020,0.21771611526147278
Romania,1,China group,1008,0.22085889570552147
Germany,2,Germany group,38137,0.17475038604819532
United Kingdom,2,Germany group,25683,0.19296163006483896
France,2,Germany group,19736,0.17239993710581947
Spain,2,Germany group,9538,0.22482557043183105
India,2,Germany group,4765,0.1647477785845175
Russia,2,Germany group,4315,0.2065680501699459
Switzerland,2,Germany group,3830,0.17747914735866543
Argentina,2,Germany group,3309,0.21879132504628404
Mexico,2,Germany group,2893,0.20087487848909874
Poland,2,Germany group,2402,0.20439074200136148
Netherlands,2,Germany group,2401,0.15743229952134286
Japan,2,Germany group,2014,0.0996339170871673
Denmark,2,Germany group,1478,0.1523554272755386
Israel,2,Germany group,1432,0.23322475570032572
Hungary,2,Germany group,1292,0.20021695335502868
Peru,2,Germany group,1116,0.3146320834508035
Sweden,3,Sweden group,11743,0.2002114128859564
Austria,3,Sweden group,5614,0.17973427245077636
Finland,3,Sweden group,1779,0.20429490124023886
US,4,US group,49054,0.1793453423370394
Italy,4,US group,11052,0.14806875577765571
Canada,4,US group,10181,0.24037871275440337
Brazil,4,US group,5695,0.21293699756963919
Australia,4,US group,5586,0.19997136106536836
Norway,4,US group,3142,0.2134800924038592
Ireland,4,US group,2231,0.18298884514435695
Portugal,4,US group,2171,0.24459215863001352
Chile,4,US group,2031,0.2765146358066712
Belgium,4,US group,2010,0.1452522040757335
New Zealand,4,US group,1865,0.21660859465737514
Lithuania,4,US group,1050,0.3333333333333333
