birth_century,region,n_elites,n_diversified,diversification_rate
800,Africa,17,13,0.7647058823529411
800,America,2,2,1.0
800,Asia,422,302,0.7156398104265402
800,Europe,569,383,0.6731107205623902
800,Unknown,118,73,0.6186440677966102
900,Africa,22,10,0.45454545454545453
900,America,3,3,1.0
900,Asia,486,344,0.7078189300411523
900,Europe,929,636,0.6846071044133477
900,Unknown,192,105,0.546875
1000,Africa,29,21,0.7241379310344828
1000,America,11,6,0.5454545454545454
1000,Asia,428,312,0.7289719626168224
1000,Europe,1430,985,0.6888111888111889
1000,Unknown,239,119,0.497907949790795
1100,Africa,58,41,0.7068965517241379
1100,America,3,1,0.3333333333333333
1100,Asia,571,395,0.691768826619965
1100,Europe,2202,1452,0.659400544959128
1100,Unknown,390,206,0.5282051282051282
1200,Africa,61,43,0.7049180327868853
1200,America,8,3,0.375
1200,Asia,654,441,0.6743119266055045
1200,Europe,3058,1981,0.6478090255068673
1200,Unknown,408,200,0.49019607843137253
1300,Africa,71,58,0.8169014084507042
1300,America,16,13,0.8125
1300,Asia,566,393,0.6943462897526502
1300,Europe,3966,2439,0.6149773071104387
1300,Unknown,438,242,0.5525114155251142
1400,Africa,60,46,0.7666666666666667
1400,America,79,54,0.6835443037974683
1400,Asia,650,451,0.6938461538461539
1400,Europe,8595,4912,0.5714950552646888
1400,Unknown,694,328,0.47262247838616717
1500,Africa,70,51,0.7285714285714285
1500,America,342,212,0.6198830409356725
1500,Asia,1541,1162,0.754055807916937
1500,Europe,21122,11449,0.5420414733453272
1500,Oceania,1,0,0.0
1500,Unknown,1135,559,0.49251101321585905
1600,Africa,84,58,0.6904761904761905
1600,America,1103,715,0.6482320942883046
1600,Asia,1174,750,0.6388415672913118
1600,Europe,30950,16173,0.5225525040387722
1600,Unknown,1619,741,0.4576899320568252
1700,Africa,286,185,0.6468531468531469
1700,America,12970,9052,0.6979182729375482
1700,Asia,1926,1169,0.606957424714434
1700,Europe,71986,37301,0.5181701997610646
1700,Oceania,352,221,0.6278409090909091
1700,Unknown,3022,1392,0.46062210456651226
1800,Africa,2613,1340,0.5128205128205128
1800,America,101593,52779,0.5195141397537232
1800,Asia,13024,7598,0.5833845208845209
1800,Europe,264531,119221,0.4506881991146595
1800,Oceania,16103,5796,0.3599329317518475
1800,Unknown,6367,3250,0.5104444793466311
1900,Africa,53147,12402,0.2333527762620656
1900,America,445760,139376,0.3126704953338119
1900,Asia,159229,45981,0.2887727738037669
1900,Europe,747761,211353,0.28264779789264216
1900,Oceania,56475,13190,0.23355467020805667
1900,Unknown,15171,7215,0.4755784061696658
