pair,treated_change,donor_mean_change,n_donors,did,direction,claim,source,signed_did,is_predicted,is_contested
Politics + Learning & Culture,-0.01623575990285442,-0.8123086935750312,4,0.7960729336721768,,,,,False,False
Politics + Nobility & Kinship,0.21071984529488835,-0.18732361931356595,4,0.3980434646084543,,,,,False,True
Business + Learning & Culture,0.4060772864604649,0.0330994183978032,4,0.37297786806266175,,,,,False,False
Administration & Law + Business,0.07056006179286423,-0.21863030047831195,4,0.28919036227117617,1.0,The Treasury and the Bank: debt management becomes an administrative craft,Brewer 1989 ch. 4; Dickson 1967,0.28919036227117617,True,False
Administration & Law + Learning & Culture,-0.12841766404415372,-0.3098982114133467,4,0.181480547369193,,,,,False,False
Business + Nobility & Kinship,-0.5191404989728432,-0.4706985093659031,4,-0.04844198960694013,,,,,False,False
Religion + Learning & Culture,0.10204909686792085,0.15569650490408143,4,-0.05364740803616058,,,,,False,False
Military + Learning & Culture,0.0944838094849974,0.1928154577524665,4,-0.0983316482674691,,,,,False,False
Politics + Military,0.5148097180570026,0.6404732121233934,4,-0.12566349406639077,,,,,False,False
Nobility & Kinship + Religion,-0.6266959135778959,-0.4485780221602343,4,-0.1781178914176616,,,,,False,False
Politics + Business,-0.7112648797317933,-0.48710705732825615,4,-0.22415782240353715,1.0,Public credit ties Parliament to the moneyed interest,Brewer 1989 ch. 4,-0.22415782240353715,True,False
Business + Religion,0.3178250014245699,0.6529746887406375,4,-0.3351496873160676,,,,,False,False
Politics + Administration & Law,0.1394924328323608,0.48411631432295127,4,-0.3446238814905905,1.0,"Office-holding becomes the substance of rule: the Excise as a salaried, examined service",Brewer 1989 ch. 3,-0.3446238814905905,True,False
Military + Nobility & Kinship,-0.7426363162481758,-0.390691185446127,4,-0.3519451308020488,,,,,False,False
Nobility & Kinship + Learning & Culture,-0.18988545858548678,0.30851530670695493,4,-0.4984007652924417,,,,,False,False
Politics + Religion,-0.25114536821436373,0.34018931834998156,4,-0.5913346865643453,,,,,False,False
Administration & Law + Military,0.04576754573321984,0.7070060760124416,4,-0.6612385302792217,1.0,The fiscal apparatus exists to fund war; revenue and command are one system,Brewer 1989 ch. 2,-0.6612385302792217,True,False
Administration & Law + Nobility & Kinship,-0.2626349654512354,0.521472773034967,4,-0.7841077384862023,-1.0,"Salaried merit replaces venal and patrimonial office, the sharpest contrast Brewer draws with France",Brewer 1989 ch. 3,0.7841077384862023,True,False
Military + Business,-1.3455680372673064,0.48642987225668616,4,-1.8319979095239927,1.0,"Contracting, victualling and naval supply",Brewer 1989 ch. 2; Baugh 1965,-1.8319979095239927,True,False
Administration & Law + Religion,-2.37205327051877,-0.3805837572615789,4,-1.991469513257191,,,,,False,False
Military + Religion,-1.5488529577957153,1.2504690731039934,4,-2.7993220308997087,,,,,False,False
