revolution,slug,window_start,window_end,countries,n_elites,n_two_sector,n_two_group,share_two_sector,n_death_imputed,share_death_imputed,birth_min,birth_max,median_age_at_start,share_women,median_visibility,n_under_20,n_20-35,n_36-55,n_56plus,top_countries
English Revolution,english-revolution,1642,1651,United Kingdom; Ireland,4037,2423,2180,0.6001981669556602,116,0.028734208570720832,1555,1631,35.0,0.04111964329947981,17.847483,342,1320,1457,918,United Kingdom 3772; Ireland 265
Glorious Revolution,glorious-revolution,1688,1689,United Kingdom; Ireland,3126,1837,1606,0.5876519513755598,80,0.025591810620601407,1598,1669,42.0,0.05182341650671785,17.749494,0,1078,1126,922,United Kingdom 2838; Ireland 288
American Revolution,american-revolution,1775,1783,US,2925,2076,1988,0.7097435897435898,21,0.0071794871794871795,1687,1763,29.0,0.044786324786324785,19.271845,381,1240,1019,285,US 2925
French Revolution,french-revolution,1789,1799,France,12685,5715,4908,0.4505321245565629,422,0.033267638943634215,1699,1779,34.0,0.03689396925502562,16.520351,962,4456,4909,2358,France 12685
Latin American independence,latin-american-independence,1810,1825,Argentina; Mexico; Colombia; Venezuela; Chile; Peru; Bolivia; Ecuador; Uruguay; Paraguay; Brazil,2976,2108,1967,0.7083333333333334,66,0.02217741935483871,1723,1805,24.0,0.05443548387096774,16.738436,542,1195,923,316,Argentina 860; Brazil 703; Mexico 434; Chile 389; Venezuela 146
Revolutions of 1848,revolutions-of-1848,1848,1849,France; Germany; Austria; Hungary; Italy; Poland; Czech Republic; Romania,36998,17922,13564,0.4844045624087788,328,0.008865344072652576,1758,1829,39.0,0.04205632736904698,17.0570175,0,14754,14727,7517,Germany 16837; France 12866; Italy 3890; Austria 2087; Poland 582
Meiji Restoration,meiji-restoration,1868,1869,Japan,518,344,295,0.6640926640926641,4,0.007722007722007722,1781,1849,32.0,0.05405405405405406,21.820737,0,313,156,49,Japan 518
Mexican Revolution,mexican-revolution,1910,1920,Mexico,1923,1213,990,0.6307852314092564,99,0.0514820592823713,1820,1900,26.0,0.08216328653146125,17.091106,294,854,494,281,Mexico 1923
Xinhai Revolution,xinhai-revolution,1911,1912,China,831,514,464,0.618531889290012,30,0.036101083032490974,1823,1892,31.0,0.07460890493381468,19.034033,0,494,251,86,China 831
Russian Revolution,russian-revolution,1917,1923,Russia; Ukraine; Poland; Finland; Latvia; Lithuania; Estonia; Georgia; Belarus; Azerbaijan; Armenia,13925,6669,4726,0.47892280071813287,214,0.015368043087971274,1828,1903,31.0,0.11368043087971275,19.567146,1259,6057,4500,2109,Russia 5975; Finland 2743; Poland 2695; Estonia 528; Ukraine 462
German Revolution,german-revolution,1918,1919,Germany; Austria,54018,22942,15715,0.4247102817579325,882,0.016327890703098966,1828,1899,38.0,0.08025102743529934,16.8304005,0,22938,19818,11262,Germany 46256; Austria 7762
Irish revolution,irish-revolution,1916,1923,Ireland,3104,1327,1110,0.4275128865979381,172,0.055412371134020616,1826,1903,36.0,0.12886597938144329,16.6838445,181,1066,1119,738,Ireland 3104
Turkish revolution,turkish-revolution,1919,1923,Turkey,722,449,372,0.6218836565096952,16,0.0221606648199446,1832,1903,37.0,0.10526315789473684,19.7316855,47,256,320,99,Turkey 722
Chinese Communist Revolution,chinese-communist-revolution,1946,1949,China,2698,1336,1102,0.4951816160118606,237,0.08784284655300223,1856,1929,36.0,0.10192735359525575,19.203467500000002,70,1083,1122,423,China 2698
Cuban Revolution,cuban-revolution,1953,1959,Cuba,1260,490,321,0.3888888888888889,301,0.2388888888888889,1867,1939,32.0,0.16984126984126985,17.783827000000002,116,539,400,205,Cuba 1260
Iranian Revolution,iranian-revolution,1978,1979,Iran,2432,1235,859,0.5078125,1508,0.6200657894736842,1888,1959,34.0,0.1147203947368421,19.9649015,0,1271,810,351,Iran 2432
