revolution,category,n_holding,share_holding,n_primary,share_primary,level
Irish revolution,Politics,1118,0.360180412371134,964,0.31056701030927836,sector
Irish revolution,Administration & Law,243,0.0782860824742268,117,0.03769329896907216,sector
Irish revolution,Military,264,0.08505154639175258,140,0.045103092783505154,sector
Irish revolution,Religion,278,0.0895618556701031,213,0.06862113402061856,sector
Irish revolution,Nobility,75,0.02416237113402062,29,0.009342783505154639,sector
Irish revolution,Kinship,124,0.03994845360824742,30,0.009664948453608248,sector
Irish revolution,Big business,103,0.03318298969072165,26,0.008376288659793814,sector
Irish revolution,Small business,238,0.07667525773195877,35,0.011275773195876288,sector
Irish revolution,Academia,405,0.13047680412371135,254,0.0818298969072165,sector
Irish revolution,Exploration & Invention,77,0.024806701030927834,31,0.009987113402061855,sector
Irish revolution,Culture (core),624,0.20103092783505155,521,0.16784793814432988,sector
Irish revolution,Culture (periphery),154,0.04961340206185567,48,0.015463917525773196,sector
Irish revolution,Sport & Games,728,0.2345360824742268,696,0.22422680412371135,sector
Irish revolution,Politics,1118,0.360180412371134,964,0.31056701030927836,group
Irish revolution,Administration & Law,243,0.0782860824742268,117,0.03769329896907216,group
Irish revolution,Military,264,0.08505154639175258,140,0.045103092783505154,group
Irish revolution,Business,336,0.10824742268041238,61,0.019652061855670103,group
Irish revolution,Nobility & Kinship,189,0.06088917525773196,59,0.019007731958762885,group
Irish revolution,Religion,278,0.0895618556701031,213,0.06862113402061856,group
Irish revolution,Learning & Culture,1090,0.35115979381443296,854,0.27512886597938147,group
