revolution,slug,group_a,group_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction,sparse_cell
Xinhai Revolution,xinhai-revolution,Politics,Administration & Law,Politics + Administration & Law,831,439,40,28.741902536597138,0.46988472903176065,0.20158188450159947,0.7174741925635495,0.12987536478992875,0.0004997501249375312,0.09111617312072894,0.21256184962025493,0.2395730188991426,-0.2570012674220645,0.6821249666625744,0.3749427712782494,0.0014992503748125937,0.4144104314128019,associated,False
Xinhai Revolution,xinhai-revolution,Politics,Military,Politics + Military,831,439,120,72.38575711408602,0.7253243218307281,0.5848582348766646,0.8864238381324252,0.07716069231144462,0.0004997501249375312,0.2733485193621868,1.027720112746358,0.17791126546967911,0.679014032425787,1.376426193066929,7.623056054421701e-09,0.0014992503748125937,4.0021044285713926e-08,associated,False
Xinhai Revolution,xinhai-revolution,Politics,Business,Politics + Business,831,439,25,41.56910626848476,-0.7222639222058145,-1.209702560976869,-0.3549616717958499,0.2232858792100168,0.00399800099950025,0.05694760820045558,-1.244195506261324,0.23816223073875914,-1.710993478509292,-0.777397534013356,1.7495576835004137e-07,0.010494752623688156,7.348142270701737e-07,dissociated,False
Xinhai Revolution,xinhai-revolution,Politics,Nobility & Kinship,Politics + Nobility & Kinship,831,439,28,35.05799958273953,-0.31921224422551864,-0.7715024598798871,0.020179235856917655,0.19789090193896397,0.10394802598700649,0.06378132118451026,-0.8321460553666014,0.23615167745013013,-1.2950033431688563,-0.3692887675643463,0.00042544074493331915,0.15592203898050974,0.000992695071511078,not distinguishable,False
Xinhai Revolution,xinhai-revolution,Politics,Religion,Politics + Religion,831,439,12,25.887889075172794,-1.0779478506010953,-1.9331749146744277,-0.5057933253443401,0.3668904512355391,0.010994502748625687,0.02733485193621868,-2.2002709477883893,0.3093833967563192,-2.806662405430775,-1.5938794901460036,1.1454424450335042e-12,0.023088455772113943,8.01809711523453e-12,dissociated,False
Xinhai Revolution,xinhai-revolution,Politics,Learning & Culture,Politics + Learning & Culture,831,439,59,80.3573454069271,-0.4424891714600145,-0.6905764955989366,-0.23159012893362954,0.11627705652341473,0.0004997501249375312,0.13439635535307518,-1.9787769137026894,0.1705568548418634,-2.3130683491927417,-1.644485478212637,4.032135824457253e-31,0.0014992503748125937,8.46748523136023e-30,dissociated,False
Xinhai Revolution,xinhai-revolution,Administration & Law,Military,Administration & Law + Military,831,439,1,9.998445122436385,-2.807141266794918,-4.577712131762084,-1.3865905414087378,0.9976761341135161,0.0004997501249375312,0.002277904328018223,-2.737199610428554,0.8290199702457911,-4.362078752110304,-1.1123204687468033,0.0009609072291369274,0.0014992503748125937,0.0020179051811875476,dissociated,True
Xinhai Revolution,xinhai-revolution,Administration & Law,Business,Administration & Law + Business,831,439,4,5.741826077181304,-0.47204315698690424,-2.132712387998369,0.479661827055784,0.734151199931296,0.45977011494252873,0.009111617312072893,-0.9494188399243209,0.49711127836497465,-1.923756945519671,0.024919265671029422,0.05614971454223668,0.5363984674329502,0.07369650033668565,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Administration & Law,Nobility & Kinship,Administration & Law + Nobility & Kinship,831,439,3,4.842464856421427,-0.6101505905825992,-3.269984082979286,0.4442301151201289,0.8576212913296561,0.3888055972013993,0.00683371298405467,-1.049333650594137,0.5584550843620869,-2.1439056159438277,0.04523831475555329,0.06024533747423693,0.49078401975482844,0.0744207109975868,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Administration & Law,Religion,Administration & Law + Religion,831,439,2,3.5758227664302,-0.7051632236547689,-3.1406331394132403,0.49066050024488417,0.9661417500051783,0.39730134932533734,0.004555808656036446,-1.60813977291818,0.6512939506844041,-2.884675916259612,-0.33160362957674816,0.01354359945786687,0.49078401975482844,0.023701299051267024,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Administration & Law,Learning & Culture,Administration & Law + Learning & Culture,831,439,14,11.099538642243166,0.32198547521360166,-0.41000789166314267,0.8280807829325241,0.31952560160790594,0.2908545727136432,0.03189066059225513,-0.9783136445352396,0.3009497618882598,-1.5681751778362287,-0.3884521112342505,0.0011509939959243728,0.40719640179910044,0.002197352174037439,not distinguishable,False
Xinhai Revolution,xinhai-revolution,Military,Business,Military + Business,831,439,6,14.460644255715257,-1.2026606806156863,-2.62106570411084,-0.37718419902819783,0.5854135372666842,0.04897551224387806,0.01366742596810934,-1.5958160194547286,0.4137784304235598,-2.4068217430849055,-0.7848102958245515,0.0001149317643519769,0.08570714642678662,0.00033034236281894656,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Military,Nobility & Kinship,Military + Nobility & Kinship,831,439,11,12.195625689151711,-0.14269763711566674,-1.014681994329867,0.45882130416059647,0.37691455437188165,0.6851574212893553,0.025056947608200455,-0.7431701260016866,0.32679911932472255,-1.3836963998781429,-0.10264385212523042,0.02296066471993047,0.7498500749625188,0.03214493060790266,not distinguishable,False
Xinhai Revolution,xinhai-revolution,Military,Religion,Military + Religion,831,439,1,9.00561951054756,-2.663818154103161,-4.4945647220909235,-1.2743513031125842,1.00605055934573,0.0004997501249375312,0.002277904328018223,-3.1695621076908465,0.8266011352919768,-4.789700332863121,-1.549423882518572,0.00012584470964531298,0.0014992503748125937,0.00033034236281894656,dissociated,True
Xinhai Revolution,xinhai-revolution,Military,Learning & Culture,Military + Learning & Culture,831,439,7,27.95390831253404,-1.9236643281148313,-3.1786985369986565,-1.1909057583579163,0.5233436063515166,0.006496751624187906,0.015945330296127564,-2.9364204228702078,0.3812318614137779,-3.6836348712412126,-2.189205974499203,1.3347891645834457e-14,0.015159087123105113,1.401528622812618e-13,dissociated,True
Xinhai Revolution,xinhai-revolution,Business,Nobility & Kinship,Business + Nobility & Kinship,831,439,13,7.003605135800358,0.8473035916357783,0.056877989139564405,1.395639954030647,0.3555909754320986,0.022988505747126436,0.029612756264236904,0.12222828056936295,0.3138815701263846,-0.4929795968783509,0.7374361580170768,0.6969736808347059,0.0438871473354232,0.6969736808347059,associated,False
Xinhai Revolution,xinhai-revolution,Business,Religion,Business + Religion,831,439,6,5.171674226705614,0.19666504963521553,-1.1453614863784556,0.9726886185919399,0.5749530757809957,0.7141429285357321,0.01366742596810934,-0.97833499201254,0.41807395805239483,-1.797759949795234,-0.15891003422984618,0.01927856202034083,0.7498500749625188,0.031142292494396723,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Business,Learning & Culture,Business + Learning & Culture,831,439,36,16.053144038153356,1.1407912011921453,0.7519400231468432,1.4520167391777936,0.178569975109185,0.0004997501249375312,0.08200455580865604,-0.14587166016250655,0.2170909977123305,-0.5713700156786743,0.27962669535366125,0.501623257451787,0.0014992503748125937,0.5267044203243765,associated,False
Xinhai Revolution,xinhai-revolution,Nobility & Kinship,Religion,Nobility & Kinship + Religion,831,439,8,4.361617777175248,0.806026368831889,-0.28368578016306734,1.5387242179181533,0.4806726515050117,0.079960019990005,0.018223234624145785,-0.4823285930274454,0.37506020146921776,-1.2174465879071121,0.2527894018522214,0.19844196931822322,0.1291661861377004,0.23151563087126042,not distinguishable,True
Xinhai Revolution,xinhai-revolution,Nobility & Kinship,Learning & Culture,Nobility & Kinship + Learning & Culture,831,439,14,13.538686960366835,0.04664489368265473,-0.7084567424779507,0.5800480069112339,0.3323752908635511,0.8885557221389305,0.03189066059225513,-1.255945381133519,0.2953474122563214,-1.834826309155909,-0.6770644531111292,2.1145953705849833e-05,0.8885557221389304,7.401083797047441e-05,not distinguishable,False
Xinhai Revolution,xinhai-revolution,Religion,Learning & Culture,Religion + Learning & Culture,831,439,29,9.997376645130215,1.4906861193384178,1.0823036107207173,1.8268583883626046,0.19192677328383018,0.0004997501249375312,0.06605922551252848,-0.521605697264228,0.2281539069760123,-0.9687873549372121,-0.07442403959124394,0.0222425005103668,0.0014992503748125937,0.03214493060790266,associated,False
