period_type,period,domain_a,domain_b,pair,n_elites_period,n_diversified_period,n_pair,expected_qi,assoc_log2,assoc_ci_low,assoc_ci_high,assoc_boot_se,p_value,share_of_diversified,log_or_uncond,se_uncond,ci_low_uncond,ci_high_uncond,p_value_uncond,q_value,q_value_uncond,direction
era,Pre-1000,Political,Ideational,Political + Ideational,7345,1193,323,350.11350991314447,-0.11611587517796237,-0.16408514677183073,-0.07452686372533747,0.02310552213386561,0.0004997501249375312,0.2707460184409053,-11.137609064755727,1.4155315642282298,-13.912050930643058,-8.363167198868396,3.599352834327079e-15,0.0005997001499250374,5.399029251490618e-15,dissociated
era,Pre-1000,Political,Economic,Political + Economic,7345,1193,31,104.65310081148424,-1.7390676599430885,-2.273299936046499,-1.3499933645938376,0.22507118309976296,0.0004997501249375312,0.025984911986588432,-1.7456750429555477,0.18886883379096034,-2.11585795718583,-1.3754921287252655,2.4015111759298682e-20,0.0005997001499250374,4.803022351859736e-20,dissociated
era,Pre-1000,Political,Security,Political + Security,7345,1193,585,484.2333891973972,0.2724777096984749,0.22437513226834113,0.3257315693897427,0.02624371788209944,0.0004997501249375312,0.490360435875943,0.3164975217265506,0.06080163475594661,0.19732631760489525,0.43566872584820593,1.935673030632894e-07,0.0005997001499250374,1.935673030632894e-07,associated
era,Pre-1000,Ideational,Economic,Ideational + Economic,7345,1193,137,36.23338922836731,1.9042677001836759,1.7336530360081985,2.064565955347992,0.08415688392738187,0.0004997501249375312,0.11483654652137469,-1.2242765701842253,0.11434008863725112,-1.4483831439132375,-1.000169996455213,9.403915828302104e-27,0.0005997001499250374,2.821174748490631e-26,associated
era,Pre-1000,Ideational,Security,Ideational + Security,7345,1193,94,167.65310088390038,-0.8313891491673389,-1.0367656695516168,-0.649472524866201,0.09683155138533085,0.0004997501249375312,0.07879295892707461,-4.251209492543071,0.1121876151868668,-4.471097218309329,-4.031321766776812,0.0,0.0005997001499250374,0.0,dissociated
era,Pre-1000,Economic,Security,Economic + Security,7345,1193,23,50.11350996570627,-1.1068617696118928,-1.778004735935273,-0.6578440031499894,0.27905158195794777,0.0014992503748125937,0.019279128248113998,-1.1553579218811507,0.21609048657495533,-1.5788952755680632,-0.7318205681942382,8.96022487967039e-08,0.0014992503748125937,1.0752269855604468e-07,dissociated
era,1000-1399,Political,Ideational,Political + Ideational,8872,1033,472,466.18007502769717,0.017880456787112198,-0.015286826155130004,0.049601531309760416,0.01691110618910828,0.2848575712143928,0.4569215876089061,-6.340454665867086,0.15741616933461347,-6.648990357762928,-6.031918973971244,0.0,0.2848575712143928,0.0,not distinguishable
era,1000-1399,Political,Economic,Political + Economic,8872,1033,97,136.2302553511117,-0.48785839047860813,-0.6778120794277308,-0.32232391587292464,0.09135103772792057,0.0004997501249375312,0.09390125847047434,-0.8801120317497825,0.11178511684043926,-1.0992108607570434,-0.6610132027425215,3.4554863465031413e-15,0.0007496251874062968,4.146583615803769e-15,dissociated
era,1000-1399,Political,Security,Political + Security,8872,1033,147,113.58966967278603,0.3705467867439959,0.2355768869972896,0.5024052656951508,0.06670549927049282,0.0004997501249375312,0.14230396902226525,-1.056685422990839,0.09147285736311946,-1.235972223422553,-0.8773986225591248,7.220513613995735e-31,0.0007496251874062968,1.0830770420993603e-30,associated
era,1000-1399,Ideational,Economic,Ideational + Economic,8872,1033,186,152.58966961964586,0.2847986963778731,0.17619586663088824,0.38956139198112005,0.05399098609300853,0.0004997501249375312,0.18005808325266215,-2.6077508063550807,0.09014070193727292,-2.7844265821521357,-2.4310750305580258,5.041358911758007e-184,0.0007496251874062968,1.0082717823516014e-183,associated
era,1000-1399,Ideational,Security,Ideational + Security,8872,1033,88,127.23025529757022,-0.529350934488014,-0.7386721709299716,-0.3479508822619339,0.10170593594207031,0.0004997501249375312,0.08518877057115198,-4.65292017861479,0.11647680105304158,-4.881214708678751,-4.424625648550828,0.0,0.0007496251874062968,0.0,dissociated
era,1000-1399,Economic,Security,Economic + Security,8872,1033,43,37.18007503118906,0.2072135632129895,-0.2062009392717253,0.5268411853147349,0.18690498282467277,0.255872063968016,0.041626331074540175,-0.9289618042029661,0.159666127086844,-1.2419074132931804,-0.6160161951127519,5.950176632361256e-09,0.2848575712143928,5.950176632361256e-09,not distinguishable
era,1400-1599,Political,Ideational,Political + Ideational,29858,4977,1967,1923.8972672378288,0.031956979913994495,0.01285260957149717,0.05201582685435217,0.010051937981772292,0.0034982508745627187,0.3952180028129395,-11.927079987109687,1.4144608032541464,-14.699423161487815,-9.15473681273156,3.390962173992442e-17,0.0034982508745627187,4.0691546087909305e-17,associated
era,1400-1599,Political,Economic,Political + Economic,29858,4977,666,895.7659493720353,-0.4273220120012179,-0.48687698528729306,-0.3696785576990676,0.030086213732331737,0.0004997501249375312,0.13381555153707053,-0.8117930483676116,0.04457577339866313,-0.8991615642289913,-0.7244245325062318,4.180955188223489e-74,0.0005997001499250374,8.361910376446978e-74,dissociated
era,1400-1599,Political,Security,Political + Security,29858,4977,636,449.3367835906108,0.5007588776129254,0.4328972313442283,0.571012433893904,0.035191429703776284,0.0004997501249375312,0.12778782399035563,-0.6113578381351885,0.04614623733080121,-0.701804463303559,-0.5209112129668181,4.617208211988979e-40,0.0005997001499250374,6.925812317983468e-40,associated
era,1400-1599,Ideational,Economic,Ideational + Economic,29858,4977,1171,984.3367833855649,0.2504004019929838,0.21140885231912962,0.2894971776242091,0.01988439399310899,0.0004997501249375312,0.23528229857343783,-2.667139031623096,0.039241216058143145,-2.7440518150970563,-2.5902262481491354,0.0,0.0005997001499250374,0.0,associated
era,1400-1599,Ideational,Security,Ideational + Security,29858,4977,264,493.76594915944855,-0.9020197977922076,-1.0534267861585715,-0.7706236199459069,0.07123778232347404,0.0004997501249375312,0.05304400241109102,-4.35345480183574,0.06674679309945453,-4.484278516310671,-4.222631087360809,0.0,0.0005997001499250374,0.0,dissociated
era,1400-1599,Economic,Security,Economic + Security,29858,4977,273,229.8972672545105,0.24741722796393803,0.10583377843387214,0.3899854661341556,0.07196094831439508,0.0004997501249375312,0.05485232067510549,-0.5432448898833807,0.0656577323950216,-0.671934045377623,-0.4145557343891384,1.2965721968881977e-16,0.0005997001499250374,1.2965721968881977e-16,associated
era,1600-1799,Political,Ideational,Political + Ideational,117198,25974,6594,7421.591684528683,-0.17056254525714426,-0.18396997067666745,-0.15780448386959361,0.006781644109765589,0.0004997501249375312,0.25386925386925385,-5.321350342158457,0.025783137188368076,-5.371885291047659,-5.270815393269255,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Political,Economic,Political + Economic,117198,25974,4318,5554.656249675555,-0.3632972011929142,-0.3860149728789878,-0.3415841008191612,0.011395652749307313,0.0004997501249375312,0.16624316624316623,-1.183906053408765,0.01836673112781768,-1.2199048464192876,-1.1479072603982425,0.0,0.0004997501249375312,0.0,dissociated
era,1600-1799,Political,Security,Political + Security,117198,25974,6775,4710.752064464422,0.5242168924197563,0.5055627410253926,0.5434700011095995,0.009668262969793038,0.0004997501249375312,0.26083776083776083,-0.44322970508863746,0.01633389593276154,-0.4752441411168501,-0.4112152690604248,3.7471712046327657e-162,0.0004997501249375312,3.7471712046327657e-162,associated
era,1600-1799,Ideational,Economic,Ideational + Economic,117198,25974,5402,3337.7520655328253,0.6945342729102099,0.6710761395047393,0.7171873105009224,0.01203734109429564,0.0004997501249375312,0.20797720797720798,-1.699513840243921,0.01735532801157723,-1.7335302831466124,-1.6654973973412295,0.0,0.0004997501249375312,0.0,associated
era,1600-1799,Ideational,Security,Ideational + Security,117198,25974,1594,2830.6562506541313,-0.8282872757521261,-0.883439218708347,-0.7727869281710998,0.027662770388908835,0.0004997501249375312,0.06136906136906137,-3.3231742064225016,0.027063483160535803,-3.376218633417152,-3.2701297794278514,0.0,0.0004997501249375312,0.0,dissociated
