shock_type,outcome,dropped,event_time,att,n_groups,n_treated_cells,min_controls
revolutionary rupture,Economic + Security,Argentina,-3,0.11866489504899483,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Argentina,-2,-0.2895435805825853,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Argentina,0,-0.18322507832169152,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Argentina,1,0.43696609262211206,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Argentina,2,-0.2105139764878641,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Argentina,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Argentina,-3,-0.22671560202701296,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Argentina,-2,-0.1753831054591701,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Argentina,0,0.29840956000956925,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Argentina,1,0.09066366613354808,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Argentina,2,-0.17790148497495598,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Argentina,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Argentina,-3,0.11705360100871949,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Argentina,-2,0.4308381460215838,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Argentina,0,-0.4139458746076915,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Argentina,1,-0.5827233371615969,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Argentina,2,-0.036293154635653274,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Argentina,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Argentina,-3,-0.2158134991241552,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Argentina,-2,0.003952447909823714,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Argentina,0,-0.21290657467820812,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Argentina,1,-0.32577832234446025,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Argentina,2,-0.011466992146932808,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Argentina,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Argentina,-3,-0.010816225381327564,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Argentina,-2,-0.08836913472147477,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Argentina,0,-0.03407644633242782,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Argentina,1,0.03161275278193504,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Argentina,2,0.0020134336367725117,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Argentina,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Argentina,-3,0.223136451275977,2.0,4.0,3.0
revolutionary rupture,Political + Security,Argentina,-2,0.10416250597947635,2.0,4.0,4.0
revolutionary rupture,Political + Security,Argentina,0,0.2662335278730275,2.0,4.0,6.0
revolutionary rupture,Political + Security,Argentina,1,0.1382238521079796,2.0,4.0,6.0
revolutionary rupture,Political + Security,Argentina,2,0.24911320682547405,2.0,4.0,6.0
revolutionary rupture,Political + Security,Argentina,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Australia,-3,0.13602582922904907,2.0,4.0,3.0
revolutionary rupture,Economic + Security,Australia,-2,-0.2843960686315687,2.0,4.0,4.0
revolutionary rupture,Economic + Security,Australia,0,-0.16269862648599082,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Australia,1,0.45542937782046844,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Australia,2,-0.1866623891336505,2.0,4.0,6.0
revolutionary rupture,Economic + Security,Australia,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Australia,-3,-0.23616473560732607,2.0,4.0,3.0
revolutionary rupture,Ideational + Economic,Australia,-2,-0.17540839564930516,2.0,4.0,4.0
revolutionary rupture,Ideational + Economic,Australia,0,0.29470636507732273,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Australia,1,0.08942282960824723,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Australia,2,-0.17716427198297052,2.0,4.0,6.0
revolutionary rupture,Ideational + Economic,Australia,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Australia,-3,0.10788465292723658,2.0,4.0,3.0
revolutionary rupture,Ideational + Security,Australia,-2,0.42188943430859904,2.0,4.0,4.0
revolutionary rupture,Ideational + Security,Australia,0,-0.4216006985496431,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Australia,1,-0.5952832927459857,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Australia,2,-0.05647738056672438,2.0,4.0,6.0
revolutionary rupture,Ideational + Security,Australia,3,0.34629626308329675,1.0,1.0,6.0
revolutionary rupture,Political + Economic,Australia,-3,-0.21535986265010126,2.0,4.0,3.0
revolutionary rupture,Political + Economic,Australia,-2,0.0035956487113304736,2.0,4.0,4.0
revolutionary rupture,Political + Economic,Australia,0,-0.20693756890213316,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Australia,1,-0.31955410281885877,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Australia,2,-0.012493050112122053,2.0,4.0,6.0
revolutionary rupture,Political + Economic,Australia,3,0.3023668966551755,1.0,1.0,6.0
revolutionary rupture,Political + Ideational,Australia,-3,-0.006557110095323736,2.0,4.0,3.0
revolutionary rupture,Political + Ideational,Australia,-2,-0.08559295417732578,2.0,4.0,4.0
revolutionary rupture,Political + Ideational,Australia,0,-0.032756683714829475,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Australia,1,0.03320168507561949,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Australia,2,0.006175498124859992,2.0,4.0,6.0
revolutionary rupture,Political + Ideational,Australia,3,0.0172175401596926,1.0,1.0,6.0
revolutionary rupture,Political + Security,Australia,-3,0.24799967040207624,2.0,4.0,3.0
revolutionary rupture,Political + Security,Australia,-2,0.11423727627487028,2.0,4.0,4.0
revolutionary rupture,Political + Security,Australia,0,0.23527123477735049,2.0,4.0,6.0
revolutionary rupture,Political + Security,Australia,1,0.11389537412699852,2.0,4.0,6.0
revolutionary rupture,Political + Security,Australia,2,0.2148307041476105,2.0,4.0,6.0
revolutionary rupture,Political + Security,Australia,3,0.37329744455572456,1.0,1.0,6.0
revolutionary rupture,Economic + Security,Austria,-3,0.07818780664779805,2.0,3.0,3.0
revolutionary rupture,Economic + Security,Austria,-2,-0.26476794458571734,2.0,3.0,4.0
revolutionary rupture,Economic + Security,Austria,0,-0.14738307362377956,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Austria,1,0.37309416361246256,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Austria,2,-0.2143791161343659,2.0,3.0,6.0
revolutionary rupture,Economic + Security,Austria,3,-0.03382946958725225,1.0,1.0,6.0
revolutionary rupture,Ideational + Economic,Austria,-3,-0.29120595450041004,2.0,3.0,3.0
revolutionary rupture,Ideational + Economic,Austria,-2,-0.23951769044159046,2.0,3.0,4.0
revolutionary rupture,Ideational + Economic,Austria,0,0.33873941897818566,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Austria,1,0.05201669889983986,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Austria,2,-0.24307035626530651,2.0,3.0,6.0
revolutionary rupture,Ideational + Economic,Austria,3,-0.8486302068571017,1.0,1.0,6.0
revolutionary rupture,Ideational + Security,Austria,-3,0.21062505217961547,2.0,3.0,3.0
revolutionary rupture,Ideational + Security,Austria,-2,0.5834229361000575,2.0,3.0,4.0
revolutionary rupture,Ideational + Security,Austria,0,-0.373514757568643,2.0,3.0,6.0
